Type,Ressort,RG,OBJET,ligne objet,NORME,ligne norme,QUANTUM,ligne quantum,POSITION,ligne position,RESULTAT,ligne contenant un résultat,QUANTUM RESULTAT (obtenu),ligne quantum
CA,Lyon,14/03233,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"86 670,34 €",,,,accepte,,"86 670,34 €",
CA,Poitiers,14/01902,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"12 402,07 €",,,,accepte,,"12 402,07 €",
CA,Amiens,11/03039,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"542 076,79 €",,,,accepte,,"20 368,04 €",
CA,Paris,14/05755,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"14 739,32 €",,,,accepte,,"14 739,32 €",
CA,Rennes,13/01972,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"618 129,55 €",,,,accepte,,"618 129,55 €",
CA,Aix,12/12829,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"631 619,00 €",,,,accepte,,"613 222,00 €",
CA,Aix,12/13370,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"7 232,14 €",,,,accepte,,"7 232,18 €",
CA,Aix,12/08041,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"29 344,67 €",,,,accepte,,"23 496,15 €",
CA,Aix,12/08042,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"32 288,63 €",,,,accepte,,"23 899,75 €",
CA,Aix,12/08039,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"32 349,83 €",,,,accepte,,"26 707,78 €",
CA,Nîmes,10/04491,paiement,53,1134 code civil : paiement du prix prévu par le contrat,,"40 990,15 €",,,,accepte,"54,85","40 990,15 €",
CA,Nîmes,10/04491,paiement,53,1134 code civil : paiement du prix prévu par le contrat,,"10 852,15 €",,,,accepte,"54,85","10 852,15 €",
CA,Nîmes,09/02629,demande conjointe de retrait du rôle,43,382 et 383 Code de procédure civile,,-,,,,accepte,52,-,
CA,Nîmes,12/00855,REQUÊTE EN RECTIFICATION D'ERREUR MATÉRIELLE,50,462 Code de procédure civile,,-,,,,accepte,64,-,
CA,Nîmes,10/04103,demande conjointe de retrait du rôle,47,382 et 383 Code de procédure civile,,-,,,,accepte,54,-,
CA,Nîmes,12/00854,REQUÊTE EN RECTIFICATION D'ERREUR MATÉRIELLE,44,462 Code de procédure civile,,-,,,,accepte,59,-,
CA,Nîmes,10/02324,désistement,57,"396, 397, 399, 400 et suivants du code de procédure civile",,-,,,,accepte,82,-,
CA,Nîmes,11/04430,désistement,49,"396, 397, 399, 400 et suivants du code de procédure civile",,-,,,,accepte,67,-,
CA,Nîmes,11/01904,annulation pour excès de pouvoir,55,R1454-14 et R1454-16 Code du travail,,"-10 000,00 €",,,,accepte,115,"-10 000,00 €",
CA,Nîmes,10/03813,dommages-intérêts,57,L1226-15 Code du travail :  : nullité du licenciement d'un salarié handicapé,,"10 200,00 €",,,,accepte,102,"9 000,00 €",
CA,Nîmes,10/03813,dommages-intérêts,58,L1234-5 code du travail : indemnité compensatrice de préavis,,"1 684,32 €",,,,accepte,103,"1 684,32 €",
CA,Nîmes,10/03813,dommages-intérêts ,59,rappel de prime d'ancienneté,,"1 230,72 €",,,,accepte,104,"1 230,72 €",
CA,Nîmes,10/03813,péremption d'instance,62,R1452-8 Code du travail,,-,,,,rejette,100,-,
CA,Nîmes,10/03813,délai raisonnable pour former un recours,63,article 8 point 3 de la Convention n°158 de l'Organisation internationale du travail sur le licenciement adoptée à Genève le 22 juin 1982 et publiée par le décret 90-140 du 9 février 1990,,-,,,,rejette,100,-,
CA,Nîmes,10/03953,dommages-intérêts,44,L1232-1 code du travail : requalification de démission en rupture irrégulière produisant les effets d'un licenciement sans cause réelle et sérieuse,,"8 586,00 €",,,,accepte,109,"8 586,00 €",
CA,Nîmes,10/03953,dommages-intérêts,44,L1232-1 code du travail : préjudice moral,,"3 000,00 €",,,,accepte,109,,
CA,Nîmes,10/03953,dommages-intérêts,44,L1232-1 code du travail : indemnité compensatrice de préavis,,"2 861,00 €",,,,accepte,109,,
CA,Nîmes,10/03953,dommages-intérêts,44,L1232-1 code du travail : congés payés,,"286,10 €",,,,accepte,109,,
CA,Nîmes,10/03953,dommages-intérêts,44,L1232-1 code du travail : indemnité légale de licenciement,,"333,90 €",,,,accepte,109,,
CA,Colmar,15/00285,dommages-intérêts,151,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"347,348","0,00 €",
CA,Douai,15/07080,dommages-intérêts,"114,115,186",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,accepte,"195,196","2 000,00 €",
CA,Riom,14/02361,dommages-intérêts,"127,128,129",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"10 000,00 €",,,,rejette,"82,83,230","0,00 €",
CA,Paris,14/11807,dommages-intérêts,"78,112",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"500,00 €",,,,accepte,"198,199,200,212","100,00 €",
CA,Paris,14/12696,dommages-intérêts,"908,909",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"100 000,00 €",,,,sursis à statuer,"1606,1607",-,
CA,Paris,14/12696,dommages-intérêts,"966,967",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"150 000,00 €",,,,sursis à statuer,"1606,1607",-,
CA,Paris,14/12696,dommages-intérêts,"1011,1012,1013",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"30 000,00 €",,,,sursis à statuer,"1606,1607",-,
CA,Chambéry,14/02167,dommages-intérêts,"88,89",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,rejette,"253,254","0,00 €",
CA,Versailles,14/01023,dommages-intérêts,"244,245",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"200 000,00 €",,,,rejette,"155,456,457","0,00 €",
CA,Saint Denis,14/01697,dommages-intérêts,78,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,accepte,"170,171,172","1 000,00 €",
CA,Paris,14/11893,dommages-intérêts,"319,320",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,rejette,"1021,1022,1023,1024","0,00 €",
CA,Chambéry,15/01679,dommages-intérêts,"138,139",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,351,"0,00 €",
CA,Metz,15/02360,amende civile,94,32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,-,,,,accepte,"324,325","2 000,00 €",
CA,Rennes,15/06188,dommages-intérêts,485,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"187 050,00 €",,,,rejette,"736,737","0,00 €",
CA,Paris,15/07861,amende civile,"70,71",32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,-,,,,rejette,96,"0,00 €",
CA,Paris,15/07861,dommages-intérêts,72,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"1 000,00 €",,,,accepte,"93,94","300,00 €",
CA,Aix,14/01023,dommages-intérêts,"124,125",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"1 000,00 €",,,,rejette,"253,254,255","0,00 €",
CA,Rennes,13/01225,dommages-intérêts,"142,143",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"282,283,284,284,285,286,287,288,296,297","0,00 €",
CA,Paris,15/07851,amende civile,"49,50,51",32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,-,,,,rejette,86,"0,00 €",
CA,Paris,15/07851,dommages-intérêts,51,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"1 000,00 €",,,,rejette,86,"0,00 €",
CA,Rouen,15/01321,amende civile,"143,144",32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,"3 000,00 €",,,,rejette,"273,274","0,00 €",
CA,Rouen,15/01321,dommages-intérêts,"145,146",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"10 000,00 €",,,,accepte,"270,271,272,286,287","3 000,00 €",
CA,Chambéry,15/02356,amende civile,"124,125,184",32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,-,,,,accepte,"276,277,278,294,295,296","3 000,00 €",
CA,Chambéry,15/02356,dommages-intérêts,"126,127,128,185,186",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,accepte,"279,280,281,282,283,294,295,296","6 000,00 €",
CA,Reims,15/01517,dommages-intérêts,"111,112,113",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"6 000,00 €",,,,rejette,"255,256,257,258","0,00 €",
CA,Rennes,15/00235,dommages-intérêts,"154,155,156,157",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"6 000,00 €",,,,rejette,"297,298,299,300,336","0,00 €",
CA,Versailles,16/01691,dommages-intérêts,"197,198,199",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"316,317,318,332,333","0,00 €",
CA,Lyon,14/08530,dommages-intérêts,"115,116",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,rejette,?,"0,00 €",
CA,Aix,14/20351,dommages-intérêts,"81,82",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"1 000,00 €",,,,rejette,"212,213,214,215,216,217","0,00 €",
CA,Paris,14/06887,dommages-intérêts,"80,81,82,83,84,85,86,87,88,89",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"50 000,00 €",,,,rejette,"511,512,513","0,00 €",
CA,Paris,14/03066,dommages-intérêts,"86,87,88,89,",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,rejette,"172,173,174","0,00 €",
CA,Paris,13/07831,dommages-intérêts,"56,57,79",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"1 500,00 €",,,,rejette,"122,123,124","0,00 €",
CA,Lyon,12/06571,dommages-intérêts,"195,200",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"500,00 €",,,,rejette,"340,341,342,343,344","0,00 €",
CA,Lyon,15/01274,dommages-intérêts,"173,174,175",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,"315,316,317,318,330,331","0,00 €",
CA,Lyon,15/01335,dommages-intérêts,"254,255,256",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,"473,474","0,00 €",
CA,Aix,13/15764,dommages-intérêts,"191,192,193",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"611,612","0,00 €",
CA,Bastia,14/00506,amende civile,-,32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,-,,,,accepte,"249,250,262","2 000,00 €",
CA,Bastia,14/00506,dommages-intérêts,"125,126",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"10 000,00 €",,,,accepte,"243,244,245,246,247,248,260,261","5 000,00 €",
CA,Toulouse,14/04736,dommages-intérêts,"75,76",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"500,00 €",,,,accepte,"157,158,159,160,161,162,163,164,165,174","500,00 €",
CA,Paris,14/11380,amende civile,"109,110",32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,"1 500,00 €",,,,rejette,"374,375,376","0,00 €",
CA,Paris,14/12463,dommages-intérêts,"95,96,103,104,275,276,277,278",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"274,283,284,285,286,287,288,289,290,291,300,301,302,303","0,00 €",
CA,Aix,15/05110,dommages-intérêts,"96,97",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,"220,221","0,00 €",
CA,Nancy,15/00497,dommages-intérêts,"80,81,130,131",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"8 000,00 €",,,,accepte,"308,309,310,311,312,313,314,315,316","1 000,00 €",
CA,Paris,15/01886,dommages-intérêts,"96,97",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,rejette,"195,196,197,215","0,00 €",
CA,Paris,14/15151,dommages-intérêts,"114,115",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"10 000,00 €",,,,accepte,"168,190,191,192,193,207,208,215,216","10 000,00 €",
CA,Paris,14/15151,amende civile,"116,117",32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,"3 000,00 €",,,,accepte,"197,198,199,211","3 000,00 €",
CA,Amiens,14/05641,dommages-intérêts,"138,139",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"1 000,00 €",,,,rejette,"175,176,177,178,179,180,181,182,197,198","0,00 €",
CA,Versailles,14/00715,dommages-intérêts,"106,107",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"15 000,00 €",,,,rejette,"330,331,332,333,334,335,336,337,345","0,00 €",
CA,Douai,15/00024,dommages-intérêts,"198,199,200,201,201,202",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"10 000,00 €",,,,rejette,"454,455,456,457,458,459,460,461,462,463,464,465,467,468,469,470,471,472,492,493","0,00 €",
CA,Douai,14/04531,dommages-intérêts,"130,131,132,225,226,227",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,rejette,"322,324,325,326,327,328,329,330,331,332,333,334,335,336,337,369,370","0,00 €",
CA,Paris,14/12165,dommages-intérêts,"222,223",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"15 000,00 €",,,,rejette,"460,461,462,463,489,490","0,00 €",
CA,Aix,15/14542,dommages-intérêts,"113,114,115,153,154,155",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"8 000,00 €",,,,rejette,"184,185,198","0,00 €",
CA,Lyon,15/04370,dommages-intérêts,"131,132",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"221,222,223,224,235","0,00 €",
CA,Lyon,15/04370,amende civile,"132,133",32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,"3 000,00 €",,,,rejette,"221,222,223,224,235","0,00 €",
CA,Paris,13/05040,dommages-intérêts,"220,221,222",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"4 000,00 €",,,,rejette,"530-552,578,579","0,00 €",
CA,Paris,13/05040,amende civile,"218,219",32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,"3 000,00 €",,,,rejette,"530-552,578,579","0,00 €",
CA,Douai,15/03260,dommages-intérêts,"68,69,151,152,287,288",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"289,290,291,292,293,294,295,296,327","0,00 €",
CA,Versailles,15/01501,amende civile,135,32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,"3 000,00 €",,,,accepte,"175,176,177,178,179,197,198","3 000,00 €",
CA,Versailles,15/01501,dommages-intérêts,"136,137",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"50 000,00 €",,,,accepte,"159-174,192-193","10 000,00 €",
CA,Paris,15/23127,dommages-intérêts,77-79,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,rejette,"103-106,114","0,00 €",
CA,Paris,15/23560,dommages-intérêts,70-73,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"76-81,88","0,00 €",
CA,Metz,15/00786,dommages-intérêts,74-75,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,281-294,"0,00 €",
CA,Grenoble,13/03681,dommages-intérêts,,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,?,,,,,?,?,
CA,Grenoble,13/03819,dommages-intérêts,"133,134",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"196,197,198","0,00 €",
CA,Lyon,14/06491,dommages-intérêts,"85,86",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,rejette,"106,107,115,116","0,00 €",
CA,Lyon,14/06491,amende civile,"86,87",32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,"3 000,00 €",,,,rejette,"106,107,115,116","0,00 €",
CA,Nimes,14/04357,dommages-intérêts,"80,81,82",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"1 000,00 €",,,,rejette,"204,205,206,221","0,00 €",
CA,Reims,14/01742,dommages-intérêts,"103,104",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,"278-297,352,353,355,356","0,00 €",
CA,Nancy,11/01988,amende civile,378,32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,"5 000,00 €",,,,accepte,"566-572,616,617","2 000,00 €",
CA,Paris,14/20417,dommages-intérêts,"168,169,170",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"1,00 €",,,,rejette,562,"0,00 €",
CA,Paris,11/04857,dommages-intérêts,66,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"1 000,00 €",,,,rejette,"164,165,166,178,179","0,00 €",
CA,Paris,15/05521,dommages-intérêts,"125,126",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"10 000,00 €",,,,rejette,"351,352,353,354,355","0,00 €",
CA,Lyon,15/02179,dommages-intérêts,"161,162,163,",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"80 000,00 €",,,,accepte,"289-294,306,307","2 000,00 €",
CA,Versailles,15/01790,dommages-intérêts,"157,158",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,-,,,,rejette,250-255,"0,00 €",
CA,Versailles,15/06565,dommages-intérêts,"89,90",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"164,165,166,180,181","0,00 €",
CA,Versailles,15/06565,dommages-intérêts,99,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,"164,165,166,180,181","0,00 €",
CA,Versailles,15/01683,dommages-intérêts,"235,236",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,rejette,"406-412,426","0,00 €",
CA,Versailles,15/01683,amende civile,237,32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,"4 000,00 €",,,,rejette,"406,413,414,426","0,00 €",
CA,Rouen,15/01728,amende civile,"117,118,119",32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,"1 000,00 €",,,,rejette,"185-190,209,210","0,00 €",
CA,Paris,15/04427,dommages-intérêts,"124,125,129,130",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,"212,213","0,00 €",
CA,Bordeaux,14/00331,dommages-intérêts,"239,240",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,-,,,,sursis à statuer,"288,289",-,
CA,Paris,15/01521,dommages-intérêts,"151,152",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,-,,,,rejette,343,"0,00 €",
CA,Lyon,15/00013,dommages-intérêts,"68,69,",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,accepte,"184,185,186,202,203","1 500,00 €",
CA,Paris,14/22567,dommages-intérêts,"132,133",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"282-285,309","0,00 €",
CA,Paris,14/22567,dommages-intérêts,"149,150",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,"282-285,309","0,00 €",
CA,Paris,15/12474,dommages-intérêts,"87,88",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"15 000,00 €",,,,rejette,"147,148,156","0,00 €",
CA,Grenoble,11/03035,dommages-intérêts,229,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"40 000,00 €",,,,rejette,547-554,"0,00 €",
CA,Grenoble,11/03035,dommages-intérêts,"239,240,241",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"10 000,00 €",,,,rejette,547-554,"0,00 €",
CA,Paris,14/22081,dommages-intérêts,"81,82",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,"132-138,154,155","0,00 €",
CA,Douai,14/07031,dommages-intérêts,"224,225,226",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,rejette,"345,346,347,350","0,00 €",
CA,Douai,14/02209,dommages-intérêts,"81,146,147,148",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"8 000,00 €",,,,rejette,"344,345,365","0,00 €",
CA,Nancy,15/00760,dommages-intérêts,"182,183,331,332",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"20 000,00 €",,,,rejette,"476-491,523","0,00 €",
CA,Paris,13/05998,amende civile,106-108,32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,"1 500,00 €",,,,rejette,192-195,"0,00 €",
CA,Paris,15/19517,dommages-intérêts,"158,159",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 000,00 €",,,,rejette,160-165,"0,00 €",
CA,Rouen,14/06104,dommages-intérêts,"75,76,108,109",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,205-213,"0,00 €",
CA,Rouen,14/06104,amende civile,"76,77,108,109",32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,"3 000,00 €",,,,rejette,205-213,"0,00 €",
CA,Paris,14/16444,dommages-intérêts,70,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 500,00 €",,,,rejette,86-89,"0,00 €",
CA,Lyon,15/01346,amende civile,"161,162,165",32-1 code de procédure civile + 559 code de procédure civile : pour procédure abusive,,"500,00 €",,,,rejette,364,"0,00 €",
CA,Bordeaux,14/00444,dommages-intérêts,"148,149,150",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"15 000,00 €",,,,rejette,428-431,"0,00 €",
CA,Montpellier,15/01799,dommages-intérêts,134,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"5 000,00 €",,,,rejette,163-166,"0,00 €",
CA,Paris,14/11409,dommages-intérêts,"106,107",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"2 000,00 €",,,,accepte,165-171,"2 000,00 €",
CA,Paris,15/03536,dommages-intérêts,"145-148,390",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"4 500,00 €",,,,rejette,"391,392,415","0,00 €",
CA,Bastia,14/00516,dommages-intérêts,186-190,1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"3 500,00 €",,,,rejette,"310,311,339","0,00 €",
CA,Riom,15/00072,dommages-intérêts,"108,109,320",1382 code civil + 32-1 code de procédure civile : en procédure abusive,,"100,00 €",,,,rejette,321-323,"0,00 €",
